taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,claim_ratio,farmers_total,claim_farmers,sum_insured
Wani,Rasa,19.9774023,78.8488126,2025,ok,-4.453392664498887,30.119070305480708,-0.01777878880634251,0.6070010819236596,0.816313371328365,0.01766773118829358,0.45192243189049497,-898.9066145215526,0.7438075213847051,1535.9574453485272,71.05304826016878,303.24513014664007,-0.7659506884765693,0.0,886.0,0.0,90051393.8
Wani,Shindola,19.8728245,79.0340137,2021,ok,0.2816937432109504,34.9545830799296,-0.004994172861755655,0.5901572046809972,0.7698913363607257,0.0149651206301364,0.44864755461836897,-922.7280495931111,0.6495095501104059,1384.9595294968562,79.71823571259186,303.9369332344876,-0.47505154606982947,0.019138755980861243,418.0,8.0,27700870.13
Wani,Shindola,19.8728245,79.0340137,2022,ok,0.5775596340007914,35.250448970719425,-0.09204831747838467,0.5031030600643684,0.7467015579611341,0.008410939013168075,0.44209337300140067,-894.436547268679,0.5790650095528658,1762.748945916151,71.71818828551102,304.2112789012221,-0.20070587933545692,0.18565400843881857,474.0,88.0,36258123.37
Wani,Shindola,19.8728245,79.0340137,2023,ok,-0.08181487620167645,34.59107446051699,-0.10845385162613674,0.48669752591661575,0.7317219288365088,-0.02958314564374366,0.4040992883444885,-933.8210476005372,0.5823682748033705,1237.039546289765,99.79734408347163,305.06242525903855,0.6504404784807107,0.10087025316455696,2528.0,255.0,238826493.97
Wani,Shindola,19.8728245,79.0340137,2024,ok,-0.2002439249465177,34.47264541177213,-0.06930945724301739,0.5258419202997358,0.7615531864692141,0.0031453530770082162,0.43682778706524034,-929.7258689759905,0.6142554156238936,1291.5990479545517,74.81764287408109,304.38694770015235,-0.02503708040529879,0.035463756819953236,2566.0,91.0,276457680.18
Wani,Shindola,19.8728245,79.0340137,2025,ok,-4.659820196692055,30.01306914002661,0.0032812201525816305,0.5984325976953343,0.7592392691573492,0.012693746464574475,0.4463761804528069,-909.396840945764,0.7655386039491541,1563.034809617705,72.35745790846572,303.6996283439908,-0.7123564365667996,0.0,696.0,0.0,66691229.41
Wani,Shirpur,20.120056,77.9114342,2021,ok,0.1825847084107913,34.532113993531084,-0.027724903454562678,0.5621950284920519,0.76913804280911,0.0030757511999648444,0.41788302992573284,-912.8559947794663,0.6323724784169991,1156.773059332274,84.04840619523512,303.3731415161546,-0.4965030150404854,0.1157556270096463,933.0,108.0,71751653.85
Wani,Shirpur,20.120056,77.9114342,2022,ok,-0.8309852725168837,33.51854401260341,-0.10914961827095598,0.48077031367565853,0.7456631162096885,0.01562589402676751,0.43043317275253573,-881.6311969331687,0.5953243187774777,1504.0763989267332,71.29976791550229,303.5998857497349,-0.2697587814608295,0.148014440433213,1385.0,205.0,118081273.62
Wani,Shirpur,20.120056,77.9114342,2023,ok,-0.9945901211303262,33.35493916398997,-0.07394107894245282,0.5159788530041616,0.7901326774636542,-0.032435878699782456,0.382371400025986,-925.4678660922376,0.6264703050798581,1016.5816981579699,101.88921517548427,304.66921430690735,0.7995697757120198,0.1553430079155673,3032.0,471.0,307395250.34
Wani,Shirpur,20.120056,77.9114342,2024,ok,-0.34074093388662136,34.008788351233676,-0.05576753971918354,0.534152392227431,0.7767531112373914,0.013566847141239756,0.42837412586700796,-914.757499832404,0.6255148818480951,1135.6193780169733,75.39686449107181,303.7395905067282,-0.13005402446753445,0.03589909443725744,3092.0,111.0,317095251.73
