taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm
Arni,Lonbehel,20.0538582,77.9942367,2023,fallback_taluka,-1.1668248042846263,34.060038608220225,-0.0883728395610093,0.521202169421216,0.7998299540425942,-0.0325691944511197,0.3875117742680972,-933.9829720255289,0.6256520400179608,1046.6339231548186,101.5615523123579,304.62194648689325,0.7934469115650518,30.227918877937846,0.3169055176634727,1.5493271417740715,6.565205100723249,-1.667002887014245,2.549913533745531,1.6740967466286227,80.4932714177407,4421.0,7655.25,340241556.57,366.0,0.0,364.0,0.0,2.0,0.0,0.10757063413701512,0.0,0.10698281646413525,0.0,0.000587817672879864,0.0
Arni,Lonbehel,20.0538582,77.9942367,2024,fallback_taluka,-1.5739349407338663,33.65292847177096,-0.0673241131286571,0.5422508958535682,0.7760760772747731,0.0122120486881724,0.4322930174073892,-923.2953125601152,0.6504579778884736,1167.9076115987168,74.64798142532221,303.7139908881078,-0.1145086872204681,16.22791887793783,-0.010338212405914525,0.3214082638362396,73.55167236918523,-1.8704528806963252,1.9656385473669256,43.28965250139463,108.80269143290379,4096.0,7110.66,317423845.03,266.0,0.0,236.0,0.0,30.0,0.0,0.08379962758464479,0.0,0.07434854176682772,0.0,0.009451085817817083,0.0
Arni,Lonbehel,20.0538582,77.9942367,2025,fallback_taluka,-4.527497713382097,30.69936569912276,-0.0582315942363727,0.5513434147458526,0.7677834292753418,0.0101059091056119,0.4301868778248284,-911.4571094529584,0.7224151113501791,1302.4219762784603,79.77018574677787,303.03694292237583,-0.7915566529526434,19.401156178923426,-0.25626592155223776,2.2652103866565585,57.98166249614559,-2.9534039800139924,1.1130220548172367,98.02700119613068,108.09865428354817,2179.0,3304.56,188516436.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arni,Sawali,20.3368205,77.8598285,2021,ok,0.2914316039863121,35.406256399599485,-0.0378719994732576,0.5625913326581574,0.8164437667726717,0.0029221441031048,0.4292975010583045,-908.2302307336166,0.6039205317565458,1099.418988616041,83.32519863791147,303.24584567088925,-0.4242852669120285,25.667659856223985,-0.3110741885556333,0.0,170.10806005505324,-0.2913631325926918,1.0110655301642095,65.99906546525823,94.61048051456676,1503.0,2719.24,93785070.42,67.0,14.0,38.0,0.0,15.0,0.0,0.07143994209307755,0.014927749094075906,0.04051817611249174,0.0,0.0159940168865099,0.0
Arni,Sawali,20.3368205,77.8598285,2022,ok,0.0559223768369736,35.170747172450184,-0.1315224009665262,0.4689409311648888,0.7775749878822991,0.0145960935639048,0.4409714505191052,-874.0679905933475,0.5431366856555068,1458.0080170095391,70.612041241014,303.4247699326595,-0.2453610051420705,19.76707340143776,0.07090241586240874,4.665200529701096,60.7315570480256,0.1010466448067288,3.1131379526404763,111.95197959451163,114.55462542565266,,,,,,,,,,,,,,,
Arni,Sawali,20.3368205,77.8598285,2023,ok,-0.3511884931623052,34.76363630245087,-0.1149863568147456,0.4854769753166699,0.7785609526286547,-0.0311129009641523,0.3952624559910476,-923.7553872841588,0.5648659383949208,936.386652854314,97.551835035944,304.49254074184915,0.8224098040476898,28.698496027241774,0.33210639509966766,1.8575482406356414,6.957953596877366,-0.862347146970294,2.8374454703441425,5.231804277819753,79.70213772228529,4607.0,8475.52,371978582.73,304.0,0.0,302.0,0.0,2.0,0.0,0.08172513529378594,0.0,0.08118746993001104,0.0,0.0005376653637749075,0.0
Arni,Sawali,20.3368205,77.8598285,2024,ok,0.42957913634738,35.54440393196057,-0.0770282621245975,0.5234350700068173,0.7678652428860225,0.0091978089255799,0.4355731658807804,-912.9501903721654,0.5750009195443292,1049.7131320239578,79.41056564510028,303.5692392327033,-0.1008917050979206,17.361804767309874,-0.019053830766400433,0.0,39.34733635585754,-0.2591993981999555,2.3632000189154354,43.47427495922913,108.4334562996595,4180.0,8016.88,356239861.35,154.0,0.0,145.0,0.0,9.0,0.0,0.0432293004540268,0.0,0.0407029127651551,0.0,0.002526387688871696,0.0
Arni,Sawali,20.3368205,77.8598285,2025,ok,-4.246456931488703,30.868367864124487,-0.0502790773930325,0.5501842547383831,0.7714175074183984,0.0111646435733036,0.4375400005285033,-911.5355933678364,0.6878692212532402,1064.827353266247,80.4502459326523,302.86732003927955,-0.8028108985216785,18.402998486568293,-0.24275221696612692,1.2396424517593643,49.072145680664725,-2.7762102286956045,1.198635724165652,67.54773127383372,106.88999243284145,2284.0,3666.36,209703806.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Babulgaon,Babhulgaon,20.55657,78.165693,2021,ok,-0.1130233703378756,34.75452211489159,-0.0435706221904788,0.5781333464504441,0.8216377430436678,0.0048410446832083,0.4206408797914601,-928.8264171496728,0.6261890526783351,1108.64906512708,75.19678866587957,303.58506469740354,-0.3882178614199667,24.306446280991736,-0.34916220036053053,0.0,208.01331327737853,-0.9894610812053731,1.4193868275349144,48.50527692562292,98.75055489964579,495.0,1107.05,42887742.69,12.0,0.0,11.0,0.0,1.0,0.0,0.027980022373147662,0.0,0.025648353842052024,0.0,0.0023316685310956382,0.0
Babulgaon,Babhulgaon,20.55657,78.165693,2022,ok,-0.0848079649430609,34.782737520286375,-0.162985009824716,0.4587189588162067,0.7384773371740224,0.0100454415255504,0.4258452766338019,-888.596853864144,0.5468366590727871,1542.5666452208436,71.71173553719008,303.7987112006721,-0.1745713581509201,19.388476977567887,0.11061753735737218,4.69884297520661,61.6166759083375,1.3034478952362578,3.1543910184518413,89.3021508907737,111.18144037780395,,,,,,,,,,,,,,,
