taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,tmax_K_mean,tmax_anom_K,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,district,SAR_VV_mean_dB,SPI30_min,sm_anom,sm_mean,tmax_anom_C,tmax_mean_C,ET_mean_mm8d,ET_anom_mm8d,SMAP_sm_mean,SMAP_sm_anom,SAR_VH_mean_dB,SAR_CR_mean_dB,rule_VHI_mean,rule_drySpellDays,rule_dry_spell_julaug,rule_SMAP_sm_anom,rule_cumRain_mm,rule_heavy_rain_days,rule_sm_wet_days,drought_rule_count,trigger_drought,flood_rule_count,trigger_flood,trigger_heat,trigger_any,payout_drought_pct,payout_flood_pct,payout_total_pct,payout_rs_per_ha
Amravati,MahuliJahangir,20.9312379,77.7501617,2025,,-4.551216337035947,30.8093478358312,-0.0222060127129297,0.4208651298007418,,,,,0.4306094705370132,1004.7160183280898,87.17075240429948,26.478031303036023,-0.172387591304369,0.6196963982651332,141.98069554690622,-5.844747690675919,0.0154091528380162,93.0893329907228,114.83947765415802,,,,,67199813.85,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-4.401221405726108,-896.0788754221367,0.0144177462811901,0.4398229343092896,-0.7974923971416038,302.9647050727662,22.672065806192744,1.8920495887112951,0.3031245425031609,0.0029847665064496,-14.091269646721106,-9.690048240995,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Amravati,NandgaonPeth,20.9312379,77.7501617,2025,,-4.551216337035947,30.8093478358312,-0.0222060127129297,0.4208651298007418,,,,,0.4306094705370132,1004.7160183280898,87.17075240429948,26.478031303036023,-0.172387591304369,0.6196963982651332,141.98069554690622,-5.844747690675919,0.0154091528380162,93.0893329907228,114.83947765415802,,,,,74701330.09,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-4.401221405726108,-896.0788754221367,0.0144177462811901,0.4398229343092896,-0.7974923971416038,302.9647050727662,22.672065806192744,1.8920495887112951,0.3031245425031609,0.0029847665064496,-14.091269646721106,-9.690048240995,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Amravati,Navasari,20.9312379,77.7501617,2025,,-4.551216337035947,30.8093478358312,-0.0222060127129297,0.4208651298007418,,,,,0.4306094705370132,1004.7160183280898,87.17075240429948,26.478031303036023,-0.172387591304369,0.6196963982651332,141.98069554690622,-5.844747690675919,0.0154091528380162,93.0893329907228,114.83947765415802,,,,,24867565.42,4.0,4.0,0.0,,,,0.0160852095186726,0.0160852095186726,0.0,,,,Amravati,-4.401221405726108,-896.0788754221367,0.0144177462811901,0.4398229343092896,-0.7974923971416038,302.9647050727662,22.672065806192744,1.8920495887112951,0.3031245425031609,0.0029847665064496,-14.091269646721106,-9.690048240995,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Amravati,Rahatgaon,20.9525952,77.7877698,2025,,-4.253904620865499,30.61445720982089,-0.0206334015502657,0.4842314845366223,,,,,0.44599882767677,995.437829670849,87.38873438604763,26.48757954277634,-0.1661268690058251,0.4060334668866369,139.01949770135295,-5.4070000174149575,0.0195522979024275,90.4710163994052,113.4140466650955,,,,,5542299.52,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-6.066520130901587,-896.8092280748103,0.0144791127570403,0.440838004313542,-0.7923469877575102,302.8538781450541,23.18026998442398,1.8850935522950591,0.305181375074971,0.0033390279089311,-14.655095481779275,-8.588575350877687,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Amravati,Shegaon,20.951858,77.7615902,2025,,-4.399978077768248,30.970854116720123,-0.0280385153874733,0.4365503592416414,,,,,0.4267418301820668,985.1820659933292,87.2088258842368,26.35416568548957,-0.1676207734259773,0.6796025055338389,141.31910725119047,-5.942066805101883,0.0033592968492441,92.28400712317496,113.8871096877502,,,,,9227743.76,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-5.015315142258823,-895.8595922893978,0.0146407162140158,0.4400262973823547,-0.7919796130337312,302.9199722892895,22.659300351868364,1.85179589156507,0.303604651605146,0.0027572751236114,-14.300944171452173,-9.28562902919334,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Amravati,Shirala,21.1330533,77.7566638,2025,,-3.943177525337465,31.967874367626045,-0.033179348985289,0.5445279555220975,,,,,0.438246876374681,977.865460451098,87.56822245224423,25.342429660299228,-0.1503511322199006,1.0663404535616825,153.97170203383772,-3.4231072733618246,-0.0421000211724851,81.27181660926756,110.14834854615596,,,,,118220872.04,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-7.886748156019835,-925.8503675252836,0.0126809230733165,0.4386953338579079,-0.763251372751329,302.8175769715844,23.344582574107527,2.1758500279461903,0.3087874528683508,0.0020347071342346,-16.84109848274065,-8.954350326720828,True,False,False,False,False,False,False,1,False,0,False,False,False,0.0,0.0,0.0,0.0
Amravati,Wadali,20.925127,77.7941465,2025,,-4.455547544604268,29.41724885958974,-0.0069974631479213,0.5232885072814266,,,,,0.460638389914158,1028.5481019984234,87.28314331480263,26.9145858852351,-0.1697074372412645,0.1267313671911806,138.9317251992116,-4.686531396354817,0.0467972015452746,88.78905560385162,114.46721002544054,,,,,35027329.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,Amravati,-6.24083215772914,-899.1151055917846,0.0138632019355491,0.4403392353256276,-0.7954928224860138,302.87627205257024,23.895884569105313,1.8484798102205289,0.3058912078501153,0.0038897854047053,-14.403119601494048,-8.162287443764901,True,False,True,False,True,False,True,2,True,2,True,False,True,0.1,0.05502829529319027,0.1,4000.0
Amravati,Walgaon,21.0172479,77.6917398,2025,,-4.265318073611158,31.17478029924331,-0.0643993854184646,0.5165137247825428,,,,,0.4021057487375696,929.8346442278294,85.19385209245397,24.689450642564605,-0.1605378470558809,0.5050134161841545,151.6275195010423,-4.223891968705295,-0.0638650967377488,79.24592412152055,113.46165795791552,,,,,69728884.61,58.0,58.0,0.0,,,,0.0831793027013113,0.0831793027013113,0.0,,,,Amravati,-7.689455593599866,-899.5006513363951,0.0150919988108288,0.4365385130907672,-0.7750472703270772,303.04674155068625,23.04266740677195,1.9250464752485232,0.3003543329355054,0.0006393225736348,-16.6466152330042,-8.957159639404344,True,False,False,False,False,False,True,1,False,1,False,False,False,0.0,0.0,0.0,0.0
Anjangaon Surji,Anjangaon,21.1213725,77.3003036,2025,,-3.927359472966722,31.85283883990182,-0.0632568958307197,0.4983635752519553,,,,,0.4189557202858283,939.8192787446552,87.63342115167481,27.59851336093338,-0.1563408009923214,0.0,172.1053353393865,-2.3669351879064977,-0.0798384856040647,56.90989127260532,107.52314640572074,,,,,34977325.93,1.0,1.0,0.0,,,,0.0028589950015083,0.0028589950015083,0.0,,,,Amravati,-7.516783565571456,-902.770037133373,0.0105655102587503,0.4310188302556199,-0.79710252496996,302.83296518953136,22.838766889514876,1.765556263416306,0.3253181194525533,0.0113890235013292,-16.505227582767347,-8.988444017195894,True,False,True,False,False,False,False,2,True,0,False,False,True,0.1,0.0,0.1,4000.0
Anjangaon Surji,Bhandaraj,21.173047,77.196071,2025,,-4.02215382257065,30.61232340486048,-0.061713360348215,0.5499799123192044,,,,,0.4068731936388076,978.6726324682428,86.37857411587663,25.939051918735895,-0.1373156011473316,0.0,170.85370173191538,-0.7124284910163833,-0.0547181880173062,54.98354224284217,107.42531978931528,,,,,73681923.78,1.0,1.0,0.0,,,,0.0013571849765836,0.0013571849765836,0.0,,,,Amravati,-7.310065023545112,-891.6462026036138,0.0137134618305516,0.3814821007613189,-0.7863415900054687,302.23632438831646,22.768115527025454,1.482273986997109,0.3446080497948858,0.0149824944632429,-15.36548057982266,-8.055415556277547,True,False,False,False,False,False,False,1,False,0,False,False,False,0.0,0.0,0.0,0.0
