taluka,revenue_circle,lat,lon,year,geocode_flag,LST_anom_C,LST_mean_C,NDVI_anom,NDVI_mean,NDVI_peak,SM_anom,SM_mean,SPI30_mean,VHI_mean,cumRain_mm,drySpellDays,tmax_K_mean,tmax_anom_K,dry_spell_julaug,gdd_surplus,heavy_rain_days,june_rain_mm,lst_anom_augsep,ndvi_slow_greenup,oct_rain_mm,sm_wet_days,farmers_total,area_ha,sum_insured_rs,claim_total_lac,claim_yield_lac,claim_local_lac,claim_prevented_lac,claim_postharvest_lac,claim_midterm_lac,rate_total,rate_yield,rate_local,rate_prevented,rate_postharvest,rate_midterm,rule_VHI_mean,rule_drySpellDays,rule_dry_spell_julaug,rule_cumRain_mm,rule_heavy_rain_days,rule_sm_wet_days,rule_lst_anom_augsep,rule_gdd_surplus,trigger_drought,trigger_flood,trigger_heat,trigger_any
Babulgaon,Weni,20.5330302,78.2586408,2025,ok,-3.2389134721304247,31.95302644765565,-0.0726171089936094,0.5460951347316191,0.7736795692576537,0.0119523564173229,0.4360488749241197,-926.8590154832912,0.6870182910155287,1141.1706499824306,86.13694748772194,303.1986998133344,-0.8156794172012052,21.36376086135247,-0.2573963724802475,1.0468454854552325,47.81597649976069,-1.1142764458318886,1.717266297481432,101.6497929668828,108.2413109180204,799.0,1412.25,80598873.77,52.0,52.0,0.0,0.0,0.0,0.0,0.0645170305336885,0.0645170305336885,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Darwha,BoriKhu.,20.3248916,77.7779409,2025,fallback_taluka,-4.924755747119937,30.637287317207267,-0.0445770580106506,0.5367945831592831,0.7507748847326977,0.0088888049360946,0.4300423336667204,-902.3903123499056,0.724755720473123,1044.406477945988,82.85026257273972,302.89640723578617,-0.7827450106349939,20.601835643658028,-0.2385558575702297,0.7049250130103606,52.95610405422289,-3.527749650071959,0.7417303099803749,63.45458139542166,102.87372853290437,2007.0,3331.33,189381043.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Darwha,Chikhali,20.3852019,78.6251163,2025,ok,-3.8044013167785855,31.203670384761068,-0.0115700827196829,0.5869737594017551,0.8111550181435647,0.012264823908667,0.4321998465049682,-910.2666517388302,0.7236604263147749,1239.1857623055043,83.38816131624979,303.71866878238035,-0.7424398750072957,19.92964871637275,-0.2609045268094661,1.6883835279655806,65.0521288687557,-3.2668912611646066,0.3686394099500018,109.53903588711722,109.18145714150631,2862.0,4612.05,262581774.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Darwha,DarwhaKhand1,20.3248916,77.7779409,2025,fallback_taluka,-4.924755747119937,30.637287317207267,-0.0445770580106506,0.5367945831592831,0.7507748847326977,0.0088888049360946,0.4300423336667204,-902.3903123499056,0.724755720473123,1044.406477945988,82.85026257273972,302.89640723578617,-0.7827450106349939,20.601835643658028,-0.2385558575702297,0.7049250130103606,52.95610405422289,-3.527749650071959,0.7417303099803749,63.45458139542166,102.87372853290437,2145.0,3218.35,182950368.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Darwha,Ladkhed,20.3465243,77.9162543,2025,ok,-4.117628951666338,30.559078375656057,-0.0560053122007731,0.52628727081437,0.771014495289209,0.012451772576433,0.440136631888976,-916.0537435059005,0.6819494486793339,1113.9923398065043,79.62227476944904,302.81704899771444,-0.8117119958441553,18.467297233388507,-0.2423130669647465,1.4356112556159843,47.73123484225977,-2.850622269848902,1.4974879718179994,72.3683180484445,109.0070465831166,1656.0,2718.21,157544013.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Darwha,Lohi,20.4368254,77.6607227,2025,ok,-4.645348866581298,29.98638234234844,-0.0366408781455179,0.5527124485511615,0.7752447637390558,0.0094766728307755,0.432075882985365,-903.8182410791454,0.6882211981111465,986.7828186336042,84.29732923658709,302.59376951513076,-0.7787160736733404,23.566438194280305,-0.2140037221537788,0.0,54.804728402382274,-2.5204844017551085,0.9896728149259728,60.10043174660737,105.34771921531554,3096.0,4905.71,278276751.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Darwha,Mahagaon,19.8336102,77.7582751,2025,ok,-4.677081874686453,30.19661595019731,-0.0023277369869187,0.6003175816443111,0.7912308174907197,0.0135457504854494,0.4110567600926931,-878.8397397297261,0.7414226593238572,1284.3079919495694,79.53244781783677,302.8648902642624,-0.843265662797614,17.459867172675516,-0.2527447341372231,1.994354838709677,65.36626761171547,-2.761615789011583,0.8417319939752608,106.6039430140652,107.08358633776088,2720.0,4225.47,242545667.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Darwha,Mangkinhi,20.3081668,77.6527297,2025,ok,-4.840304258939928,29.41243601687634,-0.0215797035810717,0.5713743905082874,0.7709258582155744,0.0095698401916328,0.4315645000359969,-897.1214752536754,0.7218359719777254,1055.8221707744283,82.59349862780356,302.69248470392694,-0.7916425868515136,21.04599223999243,-0.2277580096555518,0.4381565250307561,54.1399802241802,-3.5673612174441063,0.231999053982144,63.118215337332,106.52692344090092,3003.0,4755.25,267019952.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False
Digras,Digras,20.0968334,77.7628184,2025,ok,-3.1683548395025425,28.91947671925083,-0.0296521590005068,0.4560071139053662,0.6663112764773439,0.012265880526398,0.4029955660724095,-890.834782291278,0.6624137522344176,1242.2773157537356,84.82789176894283,302.7880982469404,-0.7791794161539282,21.306970572904337,-0.2261999026576867,1.6701890726436996,57.94958054709961,-1.506879694118744,1.522431002024651,83.92682639312862,107.60095720987545,1443.0,2332.21,134072484.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
Digras,Kalgaon,20.044482,77.8344011,2025,ok,-4.0943251366505775,30.580016788275096,-0.0591434771937028,0.5503876725705877,0.7666733790538461,0.0114746229615899,0.408458448687096,-896.4664009031886,0.7290931608399346,1262.4910684849656,84.27466123377238,302.8435493529772,-0.7785510719334737,20.971572064815696,-0.2353901860509555,1.546906093054108,59.30745877053575,-2.4851476046244914,0.8592139862127782,86.30331263823368,106.46702359518618,2736.0,3953.97,230606828.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True,False,False,True
